Ward,total,"age < 10","age < 20","age < 35","age < 60","age older"
Ward 1,61315,8390,9180,13250,20625,9870
Ward 2,56725,6900,7675,11190,19210,11750
Ward 3,52230,4980,6450,8360,19030,13410
Ward 4,54640,5340,6440,9225,19345,14290
Ward 5,64015,6250,6465,12255,24525,14520
Ward 6,58995,5190,4975,12500,24025,12305
Ward 7,52085,6850,7130,10815,17360,9930
Ward 8,50340,6995,6715,13095,15835,7700
Ward 9,46040,5185,5645,9035,15970,10205
Ward 10,64830,6635,7275,12825,23415,14680
Ward 11,62385,7355,7730,13190,22745,11365
Ward 12,54005,6760,6855,11015,18610,10765
Ward 13,53270,5890,4895,11745,20880,9860
Ward 14,53765,5310,4295,14425,21155,8580
Ward 15,62050,6905,7320,12135,21315,14375
Ward 16,53985,7100,7070,9030,20430,10355
Ward 17,50510,5080,5645,11990,18830,8965
Ward 18,44970,3725,3600,13385,16335,7925
Ward 19,57240,3615,2935,22265,19855,8570
Ward 20,76600,3660,3915,34630,23295,11100
Ward 21,48640,4635,4350,11180,17240,11235
Ward 22,65515,4960,4395,18335,23415,14410
Ward 23,88435,7065,7570,24705,32120,16975
Ward 24,62355,4325,6450,13035,21800,16745
Ward 25,58315,5570,7465,10325,21570,13385
Ward 26,64910,9330,8075,12850,22520,12135
Ward 27,78670,3890,4350,28785,27230,14415
Ward 28,66585,5325,4855,20635,25545,10225
Ward 29,44935,4815,3990,9180,17830,9120
Ward 30,53290,5545,4860,11945,22090,8850
Ward 31,53570,6380,5475,10645,21460,9610
Ward 32,57365,7030,5770,10705,24780,9080
Ward 33,57150,6105,6345,11910,21175,11615
Ward 34,59430,6500,7195,11545,21905,12285
Ward 35,62445,7605,7675,12820,23520,10825
Ward 36,54115,6035,6965,9330,20675,11110
Ward 37,64345,7525,8030,11930,23595,13265
Ward 38,66830,7505,8000,15070,22930,13325
Ward 39,54975,4730,6365,10865,19800,13215
Ward 40,62030,6645,6810,11870,22275,14430
Ward 41,68145,6075,8010,13755,25000,15305
Ward 42,77675,10145,11455,16925,27310,11840
Ward 43,55130,7035,7545,10470,18865,11215
Ward 44,60240,5700,8120,11315,21790,13315
