Province,total,"age < 10","age < 20","age < 35","age < 60","age older"
Alberta,3645255,463870,459125,821600,1312775,587885
British Columbia,4400050,438580,513945,844590,1623180,979755
Canada,33476695,3686990,4098490,6519945,12173535,6997735
Manitoba,1208265,151805,165570,236370,413175,241345
New Brunswick,751175,73185,86235,130010,283435,178310
Newfoundland and Labrador,514545,49600,56625,87630,199445,121245
Northwest Territories,41460,6145,6255,10085,14895,4080
Nova Scotia,921735,88410,107250,163085,343195,219795
Nunavut,31915,7315,6175,7985,8475,1965
Ontario,12851830,1417015,1627390,2468395,4695050,2643980
Prince Edward Island,140215,14665,18045,23650,50855,33000
Quebec,7902990,840415,910185,1511295,2870580,1770515
Saskatchewan,1033395,132110,137510,208345,344785,210645
Yukon,33895,3875,4190,6895,13720,5215
