Province,total,"African languages, n.i.e.",Afrikaans,Akan (Twi),Albanian,Amharic,Arabic,Armenian,Atikamekw,"Bantu languages, n.i.e.",Bengali,Berber languages (Kabyle),Bisayan languages,Bosnian,Bulgarian,Burmese,Cantonese,"Chinese, n.o.s.","Cree, n.o.s.",Creoles,Croatian,Czech,Danish,Dene,Dutch,Estonian,Finnish,Flemish,Fukien,German,Greek,Gujarati,Hakka,Hebrew,Hindi,Hungarian,Ilocano,"Indo-Iranian languages, n.i.e.",Innu/Montagnais,Inuktitut,Italian,Japanese,Khmer (Cambodian),Korean,Kurdish,Lao,Latvian,Lingala,Lithuanian,Macedonian,Malay,Malayalam,Maltese,Mandarin,Marathi,Mi'kmaq,Nepali,"Niger-Congo languages, n.i.e.",Norwegian,Oji-Cree,Ojibway,Oromo,Panjabi (Punjabi),Pashto,Persian (Farsi),Polish,Portuguese,Romanian,Rundi (Kirundi),Russian,Rwanda (Kinyarwanda),"Semitic languages, n.i.e.",Serbian,Serbo-Croatian,Shanghainese,"Sign languages, n.i.e.",Sindhi,Sinhala (Sinhalese),"Sino-Tibetan languages, n.i.e.","Slavic languages, n.i.e.",Slovak,Slovenian,Somali,Spanish,Stoney,Swahili,Swedish,"Tagalog (Pilipino, Filipino)",Taiwanese,Tamil,Telugu,Thai,Tibetan languages,Tigrigna,Turkish,Ukrainian,Urdu,Vietnamese,Yiddish,Aboriginal,English,French
Alberta,3610185,1880,1435,460,915,3555,16655,205,0,395,3540,35,1125,885,755,215,24790,32395,6470,630,1375,755,175,880,2390,25,115,40,120,35485,905,5040,110,370,6955,1900,1060,510,0,10,3235,2125,960,10340,785,530,85,45,85,110,370,1495,5,14910,430,5,1190,595,190,0,95,1050,38215,1235,7260,7935,2915,3735,100,8360,220,375,2025,435,65,685,1105,1000,500,70,680,120,4110,27405,2070,580,115,33190,130,1515,565,595,235,1595,1610,2985,13740,15080,5,9525,3095250,24690
British Columbia,4356205,190,1385,120,700,555,7640,490,0,115,1465,0,1265,705,1085,585,103550,81270,135,315,2540,1570,325,15,2230,110,795,50,690,11555,2105,3045,320,780,12390,2560,1190,180,0,5,6250,9540,750,38810,945,545,105,10,65,140,1320,690,15,78070,230,0,525,140,160,0,15,175,137390,565,24750,6395,5195,4155,75,12205,25,465,4020,615,555,980,675,595,620,80,1080,165,625,20585,0,250,430,29380,2910,1965,290,845,100,295,1365,1070,5430,17270,10,175,3506595,16685
Canada,33121175,4130,4465,6545,13765,10760,181790,19140,5365,1815,42065,1995,5390,6705,12075,1895,288620,297295,44520,25475,18730,7415,945,7960,11530,1450,3335,455,1900,126375,47705,55725,2050,8400,47080,22945,6160,2285,9630,27170,139480,18850,11330,104905,6000,6980,1625,880,2115,7775,3940,7955,1330,203275,2800,4160,6320,3785,575,6875,6850,4745,317075,8700,118830,85210,97210,54460,1335,109735,1180,11670,34885,5040,1325,6305,4870,6850,3525,1135,5370,2475,21665,252015,2070,4175,1130,161080,4830,98940,5205,3215,3620,5975,18705,25565,113785,104960,6860,114610,21457075,6827865
Manitoba,1193095,180,255,45,165,800,1935,10,0,50,405,5,330,360,80,40,2330,5730,10845,250,370,140,15,680,355,0,30,25,10,27180,435,755,5,185,750,300,260,20,0,15,1190,155,150,2265,200,500,15,20,20,85,30,195,10,1845,25,0,245,145,15,5805,3695,230,7360,140,1100,2475,2490,240,65,4010,75,10,345,160,10,280,25,255,350,40,100,60,585,5465,0,330,25,18775,25,205,95,85,5,615,65,2640,990,2480,25,21035,1007325,17950
New Brunswick,739895,10,50,5,5,15,730,0,0,20,105,0,20,15,10,5,130,845,0,35,25,10,10,0,180,0,15,5,10,490,35,25,0,20,125,25,5,15,0,5,90,35,0,1580,5,0,5,5,5,0,25,10,0,325,10,1025,85,10,5,0,0,5,40,0,320,65,75,265,20,220,10,0,90,15,0,165,0,10,25,0,5,0,0,595,0,70,5,280,0,35,20,15,0,0,30,35,120,235,20,1025,512110,209885
Newfoundland and Labrador,509950,25,40,0,75,10,365,0,0,5,100,0,5,5,15,0,100,580,0,10,15,5,10,0,5,10,0,0,0,45,5,15,0,5,25,10,5,5,1875,160,0,10,0,40,0,0,5,5,0,0,10,20,0,125,10,5,55,0,10,0,0,10,55,5,65,40,15,15,0,120,0,0,10,10,0,150,10,15,5,0,10,0,0,215,0,25,5,90,10,35,35,10,0,5,15,0,95,15,0,2040,502475,1140
Northwest Territories,41040,0,0,5,0,10,100,50,0,5,25,0,25,0,5,0,50,65,15,25,0,0,0,170,5,0,0,0,0,25,5,15,0,0,15,5,25,0,0,45,10,10,0,10,0,0,0,0,0,0,0,10,0,30,0,0,15,0,0,0,5,10,10,0,5,10,10,0,0,30,0,0,10,5,0,5,0,0,0,0,5,0,10,40,0,5,0,295,0,10,0,0,0,0,0,0,25,145,0,235,36485,550
Nova Scotia,910620,35,20,10,125,70,3495,15,0,10,230,0,30,50,10,5,320,1985,5,30,75,45,15,0,190,5,10,0,5,1170,270,50,0,25,215,65,0,20,0,0,170,130,5,560,55,0,15,5,5,5,20,35,0,660,25,2770,210,30,20,0,5,20,180,35,935,255,120,85,10,510,0,10,60,50,0,195,5,45,0,5,30,5,20,775,0,20,10,550,15,130,55,60,0,25,140,25,320,280,0,2770,868765,15935
Nunavut,31765,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,5,10,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,20,16490,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,10,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,16520,14440,245
Ontario,12722065,1405,775,5305,10055,5280,76410,7375,0,885,26895,40,2045,3525,5165,885,147795,135665,1920,4720,13185,4325,335,0,5395,1260,2280,230,1045,39180,23590,42445,1595,5240,24650,15440,2920,1175,5,80,88835,5765,4065,47245,3580,2855,1270,240,1780,7290,1925,5315,1295,96610,1980,10,2480,1830,120,1065,2855,1040,124100,5765,69200,60730,70210,22845,375,64425,395,10360,26000,2500,660,2650,2835,4480,1410,565,3185,1815,15450,106735,0,2025,410,65225,1495,83645,3820,1320,3200,3075,10395,15240,83520,47355,530,5935,10044810,284115
